capability_id,status_change,techniques_added,techniques_removed,n_added,n_removed
action.hacking.variety.Abuse of functionality,,T1027.018 (Invisible Unicode); T1059.012 (Hypervisor CLI); T1059.013 (Container CLI/API); T1127.003 (JamPlus); T1505.006 (vSphere Installation Bundles); T1564.013 (Bind Mounts); T1564.014 (Extended Attributes); T1569.003 (Systemctl); T1668 (Exclusive Control); T1671 (Cloud Application Integration); T1675 (ESXi Administration Command); T1678 (Delay Execution); T1679 (Selective Exclusion),,13,0
Action.Hacking.Variety.CSRF,became_mappable,T1203 (Exploitation for Client Execution),,1,0
action.hacking.variety.Disable controls,,T1685 (Disable or Modify Tools); T1685.001 (Disable or Modify Windows Event Log); T1685.002 (Disable or Modify Cloud Log); T1685.003 (Modify or Spoof Tool UI); T1685.004 (Disable or Modify Linux Audit System Log); T1685.005 (Clear Windows Event Logs); T1685.006 (Clear Linux or Mac System Logs); T1686 (Disable or Modify System Firewall); T1686.001 (Cloud Firewall); T1686.002 (Network Device Firewall); T1686.003 (Windows Host Firewall); T1688 (Safe Mode Boot); T1690 (Prevent Command History Logging),T1562; T1562.001; T1562.002; T1562.003; T1562.004; T1562.007; T1562.008; T1562.011; T1562.012,13,9
action.hacking.variety.DoS,,T1667 (Email Bombing),,1,0
action.hacking.variety.Evade Defenses,,T1027.015 (Compression); T1027.016 (Junk Code Insertion); T1027.017 (SVG Smuggling); T1036.001 (Invalid Code Signature); T1036.002 (Right-to-Left Override); T1036.003 (Rename Legitimate Utilities); T1036.004 (Masquerade Task or Service); T1036.005 (Match Legitimate Resource Name or Location); T1036.006 (Space after Filename); T1036.007 (Double File Extension); T1036.008 (Masquerade File Type); T1036.009 (Break Process Trees); T1036.010 (Masquerade Account Name); T1036.011 (Overwrite Process Arguments); T1036.012 (Browser Fingerprint); T1564.013 (Bind Mounts); T1564.014 (Extended Attributes); T1684.002 (Email Spoofing); T1685 (Disable or Modify Tools),T1014; T1562,19,2
action.hacking.variety.Exploit misconfig,,,T1574.002,0,1
action.hacking.variety.Exploit vuln,,T1687 (Exploitation for Defense Impairment),T1574.002,1,1
action.hacking.variety.Hijack,,,T1574.002,0,1
Action.Hacking.Variety.Mail command injection,became_mappable,T1566.001 (Spearphishing Attachment); T1566.002 (Spearphishing Link),,2,0
action.hacking.variety.OS commanding,,T1690 (Prevent Command History Logging),,1,0
action.hacking.variety.Other,,T1674 (Input Injection); T1677 (Poisoned Pipeline Execution); T1689 (Downgrade Attack),,3,0
Action.Hacking.Variety.Path traversal,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
action.hacking.variety.Profile host,,T1518.002 (Backup Software Discovery); T1673 (Virtual Machine Discovery); T1680 (Local Storage Discovery),,3,0
Action.Hacking.Variety.Reverse engineering,became_mappable,T1190 (Exploit Public-Facing Application); T1203 (Exploitation for Client Execution),,2,0
Action.Hacking.Variety.RFI,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
Action.Hacking.Variety.Soap array abuse,,T1071.001 (Web Protocols); T1190 (Exploit Public-Facing Application); T1210 (Exploitation of Remote Services),,3,0
Action.Hacking.Variety.Special element injection,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
Action.Hacking.Variety.SSI injection,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
action.hacking.variety.Unknown,,,T1574.002,0,1
Action.Hacking.Variety.URL redirector abuse,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
Action.Hacking.Variety.User breakout,became_mappable,T1068 (Exploitation for Privilege Escalation),,1,0
Action.Hacking.Variety.XML attribute blowup,became_mappable,T1499 (Endpoint Denial of Service),,1,0
Action.Hacking.Variety.XML entity expansion,became_mappable,T1499 (Endpoint Denial of Service),,1,0
Action.Hacking.Variety.XQuery injection,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
Action.Hacking.Variety.XSS,became_mappable,T1190 (Exploit Public-Facing Application),,1,0
action.hacking.vector.Desktop sharing software,,T1219.002 (Remote Desktop Software),,1,0
Action.Hacking.Vector.Other,became_mappable,T1669 (Wi-Fi Networks),,1,0
action.hacking.vector.Physical access,,T1219.003 (Remote Access Hardware),,1,0
action.malware.variety.Adminware,,T1219.001 (IDE Tunneling),,1,0
action.malware.variety.Capture stored data,,T1213.006 (Databases),,1,0
action.malware.variety.Disable controls,,T1685 (Disable or Modify Tools); T1685.001 (Disable or Modify Windows Event Log); T1685.002 (Disable or Modify Cloud Log); T1685.003 (Modify or Spoof Tool UI); T1685.004 (Disable or Modify Linux Audit System Log); T1686 (Disable or Modify System Firewall); T1686.001 (Cloud Firewall); T1690 (Prevent Command History Logging),T1562; T1562.001; T1562.002; T1562.003; T1562.004; T1562.006; T1562.007; T1562.008; T1562.011; T1562.012,8,10
action.malware.variety.Evade Defenses,,T1685 (Disable or Modify Tools),T1562,1,1
action.malware.variety.In-memory,,T1036.011 (Overwrite Process Arguments),,1,0
action.malware.variety.Modify data,,T1685 (Disable or Modify Tools),T1562,1,1
action.malware.variety.Other,,T1204.004 (Malicious Copy and Paste); T1204.005 (Malicious Library); T1587.001 (Malware),,3,0
Action.Malware.Variety.Spam,became_mappable,T1566 (Phishing),,1,0
Action.Malware.Vector.Email autoexecute,became_mappable,T1203 (Exploitation for Client Execution),,1,0
Action.Malware.Vector.Other,became_mappable,T1176.001 (Browser Extensions); T1176.002 (IDE Extensions),,2,0
Action.Social.Variety.Baiting,became_mappable,T1204 (User Execution); T1684 (Social Engineering),,2,0
Action.Social.Variety.Bribery,became_mappable,T1684 (Social Engineering),,1,0
Action.Social.Variety.Elicitation,became_mappable,T1684 (Social Engineering),,1,0
action.social.variety.Evade Defenses,,T1684 (Social Engineering); T1684.001 (Impersonation); T1684.002 (Email Spoofing),T1014; T1562; T1656,3,3
Action.Social.Variety.Extortion,became_mappable,T1684 (Social Engineering),,1,0
action.social.variety.Forgery,,T1686.001 (Cloud Firewall),T1562.007,1,1
action.social.variety.Phishing,,T1686.001 (Cloud Firewall),T1562.007,1,1
Action.Social.Variety.Prompt Bombing,became_mappable,T1621 (Multi-Factor Authentication Request Generation),,1,0
Action.Social.Variety.Propaganda,became_mappable,T1566 (Phishing),,1,0
Action.Social.Variety.Scam,became_mappable,T1203 (Exploitation for Client Execution),,1,0
Action.Social.Variety.Spam,became_mappable,T1566 (Phishing),,1,0
Action.Social.Variety.Unknown,became_mappable,T1684 (Social Engineering),,1,0
Action.Social.Vector.Documents,became_mappable,T1203 (Exploitation for Client Execution),,1,0
Action.Social.Vector.IM,became_mappable,T1203 (Exploitation for Client Execution),,1,0
Action.Social.Vector.Phone,became_mappable,T1598.004 (Spearphishing Voice),,1,0
Action.Social.Vector.SMS,became_mappable,T1566 (Phishing),,1,0
Attribute.Availability.Variety.Acceleration,became_mappable,T1498 (Network Denial of Service); T1499 (Endpoint Denial of Service),,2,0
Attribute.Integrity.Variety.Fraudulent transaction,became_mappable,T1657 (Financial Theft),,1,0
Attribute.Integrity.Variety.Hardware tampering,became_mappable,T1195.003 (Compromise Hardware Supply Chain); T1200 (Hardware Additions),,2,0
attribute.integrity.variety.Log tampering,,T1685.005 (Clear Windows Event Logs); T1685.006 (Clear Linux or Mac System Logs),T1070.001; T1070.002,2,2
Value_chain.development.variety.Email,became_mappable,T1683.001 (Written Content),,1,0
Value_chain.development.variety.Physical,became_mappable,T1200 (Hardware Additions),,1,0
